task_id,time_taken,solution
Task012,0.2145,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE5""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE5""], [0, 3, ""Dilation"", ""SE7""], [0, 3, ""Erosion"", ""SE7""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE4""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE4""], [1, 3, ""Dilation"", ""SE7""], [1, 3, ""Erosion"", ""SE7""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE4""], [2, 3, ""Dilation"", ""SE7""], [2, 3, ""Erosion"", ""SE7""]]"
Task013,0.0602,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE1""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE1""], [0, 4, ""Dilation"", ""SE2""], [0, 4, ""Erosion"", ""SE2""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE4""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE4""], [1, 4, ""Dilation"", ""SE2""], [1, 4, ""Erosion"", ""SE2""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE8""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE8""], [2, 4, ""Dilation"", ""SE2""], [2, 4, ""Erosion"", ""SE2""]]"
Task014,0.1124,"[[0, 1, ""Dilation"", ""SE5""], [0, 1, ""Dilation"", ""SE7""], [0, 1, ""Erosion"", ""SE5""], [0, 1, ""Erosion"", ""SE7""], [0, 3, ""Dilation"", ""SE3""], [0, 3, ""Erosion"", ""SE3""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE8""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE8""], [1, 3, ""Dilation"", ""SE3""], [1, 3, ""Erosion"", ""SE3""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE4""], [2, 3, ""Dilation"", ""SE3""], [2, 3, ""Erosion"", ""SE3""]]"
Task015,0.046,"[[0, 1, ""Dilation"", ""SE5""], [0, 1, ""Dilation"", ""SE5""], [0, 1, ""Erosion"", ""SE5""], [0, 1, ""Erosion"", ""SE5""], [0, 2, ""Dilation"", ""SE2""], [0, 2, ""Erosion"", ""SE2""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE4""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE4""], [1, 2, ""Dilation"", ""SE2""], [1, 2, ""Erosion"", ""SE2""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE2""], [2, 2, ""Dilation"", ""SE2""], [2, 2, ""Erosion"", ""SE2""]]"
Task016,0.0219,"[[0, 1, ""Dilation"", ""SE5""], [0, 1, ""Dilation"", ""SE7""], [0, 1, ""Erosion"", ""SE5""], [0, 1, ""Erosion"", ""SE7""], [0, 3, ""Dilation"", ""SE1""], [0, 3, ""Erosion"", ""SE1""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE1""], [1, 3, ""Dilation"", ""SE1""], [1, 3, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE4""], [2, 3, ""Dilation"", ""SE1""], [2, 3, ""Erosion"", ""SE1""]]"
Task017,0.149,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE1""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE1""], [0, 3, ""Dilation"", ""SE5""], [0, 3, ""Erosion"", ""SE5""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE3""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE3""], [1, 3, ""Dilation"", ""SE5""], [1, 3, ""Erosion"", ""SE5""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE4""], [2, 3, ""Dilation"", ""SE5""], [2, 3, ""Erosion"", ""SE5""]]"
Task018,0.1978,"[[0, 1, ""Dilation"", ""SE2""], [0, 1, ""Dilation"", ""SE6""], [0, 1, ""Erosion"", ""SE2""], [0, 1, ""Erosion"", ""SE6""], [0, 2, ""Dilation"", ""SE6""], [0, 2, ""Erosion"", ""SE6""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE2""], [1, 2, ""Dilation"", ""SE6""], [1, 2, ""Erosion"", ""SE6""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Erosion"", ""SE7""], [2, 1, ""Erosion"", ""SE5""], [2, 2, ""Dilation"", ""SE6""], [2, 2, ""Erosion"", ""SE6""]]"
Task019,0.3412,"[[0, 1, ""Dilation"", ""SE4""], [0, 1, ""Dilation"", ""SE5""], [0, 1, ""Erosion"", ""SE4""], [0, 1, ""Erosion"", ""SE5""], [0, 2, ""Dilation"", ""SE7""], [0, 2, ""Erosion"", ""SE7""], [1, 1, ""Dilation"", ""SE5""], [1, 1, ""Dilation"", ""SE5""], [1, 1, ""Erosion"", ""SE5""], [1, 1, ""Erosion"", ""SE5""], [1, 2, ""Dilation"", ""SE7""], [1, 2, ""Erosion"", ""SE7""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE2""], [2, 2, ""Dilation"", ""SE7""], [2, 2, ""Erosion"", ""SE7""]]"
Task020,0.0248,"[[0, 1, ""Dilation"", ""SE2""], [0, 1, ""Dilation"", ""SE2""], [0, 1, ""Erosion"", ""SE2""], [0, 1, ""Erosion"", ""SE2""], [0, 3, ""Dilation"", ""SE1""], [0, 3, ""Erosion"", ""SE1""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE4""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE4""], [1, 3, ""Dilation"", ""SE1""], [1, 3, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Erosion"", ""SE4""], [2, 1, ""Erosion"", ""SE5""], [2, 3, ""Dilation"", ""SE1""], [2, 3, ""Erosion"", ""SE1""]]"
Task021,0.0141,"[[0, 1, ""Dilation"", ""SE2""], [0, 1, ""Dilation"", ""SE2""], [0, 1, ""Erosion"", ""SE2""], [0, 1, ""Erosion"", ""SE2""], [0, 2, ""Dilation"", ""SE1""], [0, 2, ""Erosion"", ""SE1""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE1""], [1, 2, ""Dilation"", ""SE1""], [1, 2, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE4""], [2, 2, ""Dilation"", ""SE1""], [2, 2, ""Erosion"", ""SE1""]]"
Task022,0.0484,"[[0, 1, ""Dilation"", ""SE2""], [0, 1, ""Dilation"", ""SE2""], [0, 1, ""Erosion"", ""SE2""], [0, 1, ""Erosion"", ""SE2""], [0, 2, ""Dilation"", ""SE2""], [0, 2, ""Erosion"", ""SE2""], [1, 1, ""Dilation"", ""SE6""], [1, 1, ""Dilation"", ""SE7""], [1, 1, ""Erosion"", ""SE6""], [1, 1, ""Erosion"", ""SE7""], [1, 2, ""Dilation"", ""SE2""], [1, 2, ""Erosion"", ""SE2""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 2, ""Dilation"", ""SE2""], [2, 2, ""Erosion"", ""SE2""]]"
Task023,0.0032,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE6""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE6""], [0, 1, ""Dilation"", ""SE1""], [0, 1, ""Erosion"", ""SE1""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE4""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE4""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE4""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Erosion"", ""SE1""]]"
Task024,0.1102,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE1""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE1""], [0, 3, ""Dilation"", ""SE4""], [0, 3, ""Erosion"", ""SE4""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE6""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE6""], [1, 3, ""Dilation"", ""SE4""], [1, 3, ""Erosion"", ""SE4""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE2""], [2, 3, ""Dilation"", ""SE4""], [2, 3, ""Erosion"", ""SE4""]]"
Task025,0.0658,"[[0, 1, ""Dilation"", ""SE5""], [0, 1, ""Dilation"", ""SE8""], [0, 1, ""Erosion"", ""SE5""], [0, 1, ""Erosion"", ""SE8""], [0, 3, ""Dilation"", ""SE2""], [0, 3, ""Erosion"", ""SE2""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE8""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE8""], [1, 3, ""Dilation"", ""SE2""], [1, 3, ""Erosion"", ""SE2""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE2""], [2, 3, ""Dilation"", ""SE2""], [2, 3, ""Erosion"", ""SE2""]]"
Task026,0.1936,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE7""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE7""], [0, 3, ""Dilation"", ""SE5""], [0, 3, ""Erosion"", ""SE5""], [1, 1, ""Dilation"", ""SE5""], [1, 1, ""Dilation"", ""SE5""], [1, 1, ""Erosion"", ""SE5""], [1, 1, ""Erosion"", ""SE5""], [1, 3, ""Dilation"", ""SE5""], [1, 3, ""Erosion"", ""SE5""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE1""], [2, 3, ""Dilation"", ""SE5""], [2, 3, ""Erosion"", ""SE5""]]"
Task027,0.0338,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE4""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE4""], [0, 4, ""Dilation"", ""SE1""], [0, 4, ""Erosion"", ""SE1""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE7""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE7""], [1, 4, ""Dilation"", ""SE1""], [1, 4, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE4""], [2, 4, ""Dilation"", ""SE1""], [2, 4, ""Erosion"", ""SE1""]]"
Task028,0.1778,"[[0, 1, ""Dilation"", ""SE2""], [0, 1, ""Dilation"", ""SE5""], [0, 1, ""Erosion"", ""SE2""], [0, 1, ""Erosion"", ""SE5""], [0, 2, ""Dilation"", ""SE5""], [0, 2, ""Erosion"", ""SE5""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE7""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE7""], [1, 2, ""Dilation"", ""SE5""], [1, 2, ""Erosion"", ""SE5""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE2""], [2, 2, ""Dilation"", ""SE5""], [2, 2, ""Erosion"", ""SE5""]]"
Task029,0.2947,"[[0, 1, ""Dilation"", ""SE4""], [0, 1, ""Dilation"", ""SE8""], [0, 1, ""Erosion"", ""SE4""], [0, 1, ""Erosion"", ""SE8""], [0, 3, ""Dilation"", ""SE7""], [0, 3, ""Erosion"", ""SE7""], [1, 1, ""Dilation"", ""SE5""], [1, 1, ""Dilation"", ""SE8""], [1, 1, ""Erosion"", ""SE5""], [1, 1, ""Erosion"", ""SE8""], [1, 3, ""Dilation"", ""SE7""], [1, 3, ""Erosion"", ""SE7""], [2, 1, ""Dilation"", ""SE6""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Erosion"", ""SE6""], [2, 1, ""Erosion"", ""SE7""], [2, 3, ""Dilation"", ""SE7""], [2, 3, ""Erosion"", ""SE7""]]"
Task030,0.1236,"[[0, 1, ""Dilation"", ""SE2""], [0, 1, ""Dilation"", ""SE7""], [0, 1, ""Erosion"", ""SE2""], [0, 1, ""Erosion"", ""SE7""], [0, 3, ""Dilation"", ""SE3""], [0, 3, ""Erosion"", ""SE3""], [1, 1, ""Dilation"", ""SE3""], [1, 1, ""Dilation"", ""SE3""], [1, 1, ""Erosion"", ""SE3""], [1, 1, ""Erosion"", ""SE3""], [1, 3, ""Dilation"", ""SE3""], [1, 3, ""Erosion"", ""SE3""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE7""], [2, 3, ""Dilation"", ""SE3""], [2, 3, ""Erosion"", ""SE3""]]"
Task031,0.1823,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE2""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE2""], [0, 3, ""Dilation"", ""SE5""], [0, 3, ""Erosion"", ""SE5""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Dilation"", ""SE6""], [1, 1, ""Erosion"", ""SE2""], [1, 1, ""Erosion"", ""SE6""], [1, 3, ""Dilation"", ""SE5""], [1, 3, ""Erosion"", ""SE5""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE4""], [2, 3, ""Dilation"", ""SE5""], [2, 3, ""Erosion"", ""SE5""]]"
Task032,0.0227,"[[0, 1, ""Dilation"", ""SE2""], [0, 1, ""Dilation"", ""SE5""], [0, 1, ""Erosion"", ""SE2""], [0, 1, ""Erosion"", ""SE5""], [0, 3, ""Dilation"", ""SE1""], [0, 3, ""Erosion"", ""SE1""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE2""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE2""], [1, 3, ""Dilation"", ""SE1""], [1, 3, ""Erosion"", ""SE1""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE5""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE5""], [2, 3, ""Dilation"", ""SE1""], [2, 3, ""Erosion"", ""SE1""]]"
Task033,0.1596,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE4""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE4""], [0, 2, ""Dilation"", ""SE4""], [0, 2, ""Erosion"", ""SE4""], [1, 1, ""Dilation"", ""SE1""], [1, 1, ""Dilation"", ""SE3""], [1, 1, ""Erosion"", ""SE1""], [1, 1, ""Erosion"", ""SE3""], [1, 2, ""Dilation"", ""SE4""], [1, 2, ""Erosion"", ""SE4""], [2, 1, ""Dilation"", ""SE1""], [2, 1, ""Dilation"", ""SE4""], [2, 1, ""Erosion"", ""SE1""], [2, 1, ""Erosion"", ""SE4""], [2, 2, ""Dilation"", ""SE4""], [2, 2, ""Erosion"", ""SE4""]]"
Task034,0.2081,"[[0, 1, ""Dilation"", ""SE1""], [0, 1, ""Dilation"", ""SE7""], [0, 1, ""Erosion"", ""SE1""], [0, 1, ""Erosion"", ""SE7""], [0, 2, ""Dilation"", ""SE5""], [0, 2, ""Erosion"", ""SE5""], [1, 1, ""Dilation"", ""SE6""], [1, 1, ""Dilation"", ""SE7""], [1, 1, ""Erosion"", ""SE6""], [1, 1, ""Erosion"", ""SE7""], [1, 2, ""Dilation"", ""SE5""], [1, 2, ""Erosion"", ""SE5""], [2, 1, ""Dilation"", ""SE2""], [2, 1, ""Dilation"", ""SE7""], [2, 1, ""Erosion"", ""SE2""], [2, 1, ""Erosion"", ""SE7""], [2, 2, ""Dilation"", ""SE5""], [2, 2, ""Erosion"", ""SE5""]]"
